Id,SalePrice
1461,111572.67
1462,153856.64
1463,171232.94
1464,180577.09
1465,189958.51
1466,172045.06
1467,186991.79
1468,163303.21
1469,205269.18
1470,112357.37
1471,203918.24
1472,101802.87
1473,92005.85
1474,141790.15
1475,111492.21
1476,335307.75
1477,228392.38
1478,309337.38
1479,290510.75
1480,427680.28
1481,286812.65
1482,200980.15
1483,182255.11
1484,164357.04
1485,203427.72
1486,212780.83
1487,301931.63
1488,230459.21
1489,193555.48
1490,246450.79
1491,208157.92
1492,87853.54
1493,201536.26
1494,287002.21
1495,272215.31
1496,240706.59
1497,179098.31
1498,163987.8
1499,167027.86
1500,155038.71
1501,209598.06
1502,152917.73
1503,262603.33
1504,238578.57
1505,226116.21
1506,185249.32
1507,249510.44
1508,191583.3
1509,155493.64
1510,138303.02
1511,157274.51
1512,180422.04
1513,148554.02
1514,157577.15
1515,205860.25
1516,164328.94
1517,167719.37
1518,127170.82
1519,231352.26
1520,124439.12
1521,122953.33
1522,194628.86
1523,97286.53
1524,122821.57
1525,104737.55
1526,93188.68
1527,93891.31
1528,145805.02
1529,133961.03
1530,190843.7
1531,139620.21
1532,87055.09
1533,160934.14
1534,142914.58
1535,162260.84
1536,103379.41
1537,65155.39
1538,166142.18
1539,220540.35
1540,123516.44
1541,146102.77
1542,138871.72
1543,194372.26
1544,86594.06
1545,115892.45
1546,135068.64
1547,138055.54
1548,128395.18
1549,106096.67
1550,133347.16
1551,131944.38
1552,134766.69
1553,150957.25
1554,115295.23
1555,156977.37
1556,108450.69
1557,98138.85
1558,117303.27
1559,86771.65
1560,132898.0
1561,150211.07
1562,133909.76
1563,124467.45
1564,162019.09
1565,139457.15
1566,237849.55
1567,83099.76
1568,228807.92
1569,135072.97
1570,145381.25
1571,103797.4
1572,145140.44
1573,232754.14
1574,117609.09
1575,236066.85
1576,239830.17
1577,183144.81
1578,146887.66
1579,134373.73
1580,187004.58
1581,165422.76
1582,126751.02
1583,293130.73
1584,228725.1
1585,157958.45
1586,30503.27
1587,120478.21
1588,152169.48
1589,121497.64
1590,141515.02
1591,81388.78
1592,140188.22
1593,129721.81
1594,138626.71
1595,102557.97
1596,216767.72
1597,178524.49
1598,194932.19
1599,191542.45
1600,184921.85
1601,31756.32
1602,121783.81
1603,62032.44
1604,274102.59
1605,248182.99
1606,167784.28
1607,167672.11
1608,211097.66
1609,185135.49
1610,150095.45
1611,143988.28
1612,191566.11
1613,164374.72
1614,135282.08
1615,75963.67
1616,59786.44
1617,76407.17
1618,111476.21
1619,155571.16
1620,173337.17
1621,142495.19
1622,142608.47
1623,259165.78
1624,227309.58
1625,119237.08
1626,185253.53
1627,182083.02
1628,276565.12
1629,174166.04
1630,314990.54
1631,197277.05
1632,220335.0
1633,180682.22
1634,189760.17
1635,184730.06
1636,155281.68
1637,193143.84
1638,213003.72
1639,168784.04
1640,253826.34
1641,175852.34
1642,259401.35
1643,223436.98
1644,233535.56
1645,228687.48
1646,161363.41
1647,156703.36
1648,121213.04
1649,133417.6
1650,113099.22
1651,111320.77
1652,105490.32
1653,106342.17
1654,141844.22
1655,144950.0
1656,136946.92
1657,143347.03
1658,149244.65
1659,108148.8
1660,158123.12
1661,408557.03
1662,345945.25
1663,375155.47
1664,438973.05
1665,320158.34
1666,301755.56
1667,342456.81
1668,344168.69
1669,300495.67
1670,351192.22
1671,257066.2
1672,382409.88
1673,272659.47
1674,245956.87
1675,198383.25
1676,197594.56
1677,206350.38
1678,436473.16
1679,348516.34
1680,317693.56
1681,284537.23
1682,296536.78
1683,181986.06
1684,194436.46
1685,198655.47
1686,176264.2
1687,194620.91
1688,205924.88
1689,213695.75
1690,211812.3
1691,199324.32
1692,277408.34
1693,189664.41
1694,178728.52
1695,168033.26
1696,267907.24
1697,162311.88
1698,300379.96
1699,309369.96
1700,244034.73
1701,265126.92
1702,242406.64
1703,241890.74
1704,274410.72
1705,262419.32
1706,390931.31
1707,215806.46
1708,207399.52
1709,257115.39
1710,220076.78
1711,275024.98
1712,243678.29
1713,268502.27
1714,223942.06
1715,211071.54
1716,187406.11
1717,185641.81
1718,138821.95
1719,216461.51
1720,255724.26
1721,185857.63
1722,128533.74
1723,164359.38
1724,202945.67
1725,232650.52
1726,202788.22
1727,157660.15
1728,205291.13
1729,153666.87
1730,157739.35
1731,133208.48
1732,121871.55
1733,101228.23
1734,113224.85
1735,143530.6
1736,95836.25
1737,265368.88
1738,233313.04
1739,254569.47
1740,193649.56
1741,185462.94
1742,187220.17
1743,190406.48
1744,316842.38
1745,216931.01
1746,233538.19
1747,211008.98
1748,233077.14
1749,160661.65
1750,148310.22
1751,259977.84
1752,103511.16
1753,151790.44
1754,205375.76
1755,190500.04
1756,118330.92
1757,113464.84
1758,142103.61
1759,151146.36
1760,163909.56
1761,157301.59
1762,170929.61
1763,184031.69
1764,104514.15
1765,190514.3
1766,188226.88
1767,226015.3
1768,136679.13
1769,162753.75
1770,165566.38
1771,116160.52
1772,141470.46
1773,117273.58
1774,163761.92
1775,130667.69
1776,138560.25
1777,113496.27
1778,154972.62
1779,104888.71
1780,185897.1
1781,113447.4
1782,66089.21
1783,143647.64
1784,116829.57
1785,122969.83
1786,126065.85
1787,186351.56
1788,76143.19
1789,91368.74
1790,42646.36
1791,212433.49
1792,160030.34
1793,142569.55
1794,178305.12
1795,131593.44
1796,146911.9
1797,147232.74
1798,114345.14
1799,95145.58
1800,131727.29
1801,115818.62
1802,142894.81
1803,160796.89
1804,146933.59
1805,148400.1
1806,129370.0
1807,150169.15
1808,129387.82
1809,116150.33
1810,138527.06
1811,131844.17
1812,105567.11
1813,115595.22
1814,94648.56
1815,22413.34
1816,114890.24
1817,131346.43
1818,185132.13
1819,144804.59
1820,53230.32
1821,137923.16
1822,156128.44
1823,64707.7
1824,145117.0
1825,135381.78
1826,100799.23
1827,98255.54
1828,122676.02
1829,144129.4
1830,138724.95
1831,143945.95
1832,96315.6
1833,147748.76
1834,132946.24
1835,107073.93
1836,130824.38
1837,80935.21
1838,111222.47
1839,124947.23
1840,141077.51
1841,131089.33
1842,87851.87
1843,123352.35
1844,136333.69
1845,137569.38
1846,148345.28
1847,170582.79
1848,14519.17
1849,107843.26
1850,117723.15
1851,169037.74
1852,130364.13
1853,132818.36
1854,183395.66
1855,168718.21
1856,224649.2
1857,157732.52
1858,159348.44
1859,123817.5
1860,169204.38
1861,122633.81
1862,303373.62
1863,301526.63
1864,301544.08
1865,343705.87
1866,343987.32
1867,240371.07
1868,304774.04
1869,224475.73
1870,232355.1
1871,254773.62
1872,196445.69
1873,231246.46
1874,139395.51
1875,199747.51
1876,188750.71
1877,211971.68
1878,211823.66
1879,121275.7
1880,123451.79
1881,256269.34
1882,257669.83
1883,202456.68
1884,214548.01
1885,243645.13
1886,291759.95
1887,229697.66
1888,274930.33
1889,185349.14
1890,97342.58
1891,130860.82
1892,88686.17
1893,140776.62
1894,110932.49
1895,133883.43
1896,117523.11
1897,94035.87
1898,122813.76
1899,166051.14
1900,147615.81
1901,141097.2
1902,133786.04
1903,203633.17
1904,136923.78
1905,183596.7
1906,152241.94
1907,220332.46
1908,111491.67
1909,152717.19
1910,128097.77
1911,196478.21
1912,293979.39
1913,178872.14
1914,53161.61
1915,305558.4
1916,50509.67
1917,256960.33
1918,141173.09
1919,194362.37
1920,167119.9
1921,367986.6
1922,328954.08
1923,231012.04
1924,218128.36
1925,219210.56
1926,373346.17
1927,126681.41
1928,159329.28
1929,122747.03
1930,148202.63
1931,151523.27
1932,143208.55
1933,172162.26
1934,167833.43
1935,163244.21
1936,185164.48
1937,177741.47
1938,184621.57
1939,224383.1
1940,192153.11
1941,168645.41
1942,191143.84
1943,200094.36
1944,317872.92
1945,355601.99
1946,195104.92
1947,311810.73
1948,168908.88
1949,256766.69
1950,193350.87
1951,268499.78
1952,227445.69
1953,197324.34
1954,191633.46
1955,119908.36
1956,324089.19
1957,151752.28
1958,291912.7
1959,152223.8
1960,100575.47
1961,134043.83
1962,97081.45
1963,112685.8
1964,99994.17
1965,140972.4
1966,139133.51
1967,281702.98
1968,386459.55
1969,366925.22
1970,373345.8
1971,436137.27
1972,351754.59
1973,290931.43
1974,318733.02
1975,439499.19
1976,262594.31
1977,351225.22
1978,313367.05
1979,308842.74
1980,185500.37
